GEOID,COUNTY,POP_TOT,MALE_POP,FEMALE_POP,GDP,DEGREE_TOT,BACHELOR,MASTER,PROFFE,DOCTOR,TOT_NO_INS,MALE_INS,FEMALE_INS,BOTH_INS,TOT_POV,MALE_POV,FEMALE_POV,TOT_COMM,OTHER_COMM
32015,"Lander County, Nevada",5907,3255,2652,30256,3751,274,192,25,38,5866,392,453,845,757,401,356,2702,24
32009,"Esmeralda County, Nevada",1069,500,569,23755,785,111,10,3,8,1064,98,117,215,126,26,100,417,0
32021,"Mineral County, Nevada",4519,2276,2243,22791,3368,251,131,0,15,4440,348,328,676,941,401,540,1823,0
32017,"Lincoln County, Nevada",5155,2821,2334,27218,3535,577,215,0,12,4681,350,244,594,595,360,235,1766,0
32031,"Washoe County, Nevada",439914,221166,218748,31879,299065,54621,21366,5936,4752,437176,33890,27910,61800,65024,30678,34346,209468,2238
32510,"Carson City, Nevada",54412,27785,26627,28044,38540,4925,2167,594,398,52488,4081,3213,7294,8744,4021,4723,23440,102
33013,"Merrimack County, New Hampshire",147715,72732,74983,34475,103791,22150,10458,2313,1349,144313,6060,4993,11053,12150,5164,6986,75456,646
33001,"Belknap County, New Hampshire",60392,29571,30821,33849,44280,8507,3582,1044,357,59647,3378,2996,6374,6124,2790,3334,30319,502
33017,"Strafford County, New Hampshire",125913,61524,64389,32540,81175,17584,8138,925,1613,124504,5996,5550,11546,11875,4930,6945,64349,685
34025,"Monmouth County, New Jersey",627532,305359,322173,46736,434984,113820,54097,13366,7002,623449,28309,23046,51355,47318,20047,27271,303317,1901
34037,"Sussex County, New Jersey",144694,71759,72935,41272,101456,23609,8268,1499,863,143484,5850,4456,10306,8358,3929,4429,73922,495
34013,"Essex County, New Jersey",792586,380718,411868,35133,526945,105847,47508,14474,7794,781004,63007,53939,116946,132940,57301,75639,353854,2986
34015,"Gloucester County, New Jersey",291286,141585,149701,36205,197574,40076,13994,3060,2019,289960,10462,8195,18657,23257,10096,13161,141661,1137
34031,"Passaic County, New Jersey",507204,246848,260356,29393,332386,58809,22383,5016,2574,503399,41870,34063,75933,83738,37060,46678,229862,3241
34003,"Bergen County, New Jersey",930310,450329,479981,46601,653207,194268,82657,22694,11096,924248,49760,43608,93368,69119,29556,39563,456128,4823
34041,"Warren County, New Jersey",107095,52215,54880,37001,74882,15158,5955,1116,565,106152,4726,3944,8670,8334,3650,4684,52857,211
34005,"Burlington County, New Jersey",450236,221808,228428,39528,312858,74124,29087,6798,3757,435857,14560,11043,25603,28440,12359,16081,220922,1246
35029,"Luna County, New Mexico",24627,12225,12402,16622,15743,1135,752,27,59,24252,2285,1766,4051,7153,3083,4070,7860,64
35055,"Taos County, New Mexico",32961,16084,16877,23229,24193,3909,2035,376,465,32777,2548,2148,4696,7168,3397,3771,13848,159
35007,"Colfax County, New Mexico",12716,6431,6285,21785,9362,1429,486,54,103,12230,742,635,1377,2620,1266,1354,4629,0
35021,"Harding County, New Mexico",565,290,275,30782,454,98,14,0,5,565,14,23,37,81,32,49,202,2
35037,"Quay County, New Mexico",8555,4260,4295,18220,5943,510,325,46,21,8514,466,192,658,1638,728,910,2976,18
28103,"Noxubee County, Mississippi",11098,5256,5842,16591,7266,672,352,14,17,10900,1005,735,1740,3510,1524,1986,4009,36
28137,"Tate County, Mississippi",28338,13846,14492,21671,18225,1920,712,238,77,27871,2342,1779,4121,4158,1841,2317,10905,110
28107,"Panola County, Mississippi",34319,16579,17740,20191,22250,2324,923,163,59,34122,2933,2406,5339,7630,3438,4192,12695,99
28161,"Yalobusha County, Mississippi",12380,5937,6443,20037,8434,693,367,17,71,12196,1002,606,1608,2630,1128,1502,4950,14
28029,"Copiah County, Mississippi",28780,13820,14960,18756,18770,1770,477,65,103,28632,2654,2449,5103,7844,3398,4446,9718,45
28049,"Hinds County, Mississippi",244596,114238,130358,22397,154494,25244,11951,3656,2450,242056,19081,17391,36472,60356,25684,34672,103400,1120
28145,"Union County, Mississippi",27989,13672,14317,19518,18531,1592,965,212,107,27741,2242,1891,4133,5277,1926,3351,11052,42
28139,"Tippah County, Mississippi",22061,10819,11242,19780,14491,1270,602,50,56,21958,1331,1360,2691,5103,2265,2838,8584,82
28035,"Forrest County, Mississippi",76274,36332,39942,20783,46623,6695,3724,764,786,75598,6830,5417,12247,19870,8782,11088,31891,1979
28071,"Lafayette County, Mississippi",52193,25377,26816,25719,29500,6752,2743,780,1451,51636,3158,2207,5365,11902,5728,6174,23002,159
28087,"Lowndes County, Mississippi",59785,28561,31224,23141,39356,5574,2447,510,286,57964,3991,4316,8307,12783,5198,7585,25103,274
28157,"Wilkinson County, Mississippi",9233,4888,4345,12722,6379,589,192,51,0,8188,778,582,1360,2913,1262,1651,2524,8
28065,"Jefferson Davis County, Mississippi",11771,5705,6066,17035,8174,767,366,19,39,11660,1117,1135,2252,4005,1658,2347,3958,53
28123,"Scott County, Mississippi",28268,13707,14561,20520,18170,1506,470,66,100,27998,2709,2440,5149,7412,3350,4062,10713,113
28163,"Yazoo County, Mississippi",27719,15297,12422,16927,18571,1481,687,89,130,23809,2364,1625,3989,8180,3657,4523,8049,56
05063,"Independence County, Arkansas",37030,17995,19035,23056,25007,2815,1136,249,206,36530,2456,2304,4760,6891,2868,4023,15376,179
05079,"Lincoln County, Arkansas",13935,8622,5313,13142,10073,570,153,24,39,9248,542,630,1172,2158,934,1224,3140,29
05083,"Logan County, Arkansas",21935,10961,10974,19708,15278,1519,406,41,22,21672,1016,1175,2191,4071,1873,2198,8337,62
05053,"Grant County, Arkansas",18046,8867,9179,25814,12376,1619,677,71,88,17886,824,799,1623,2318,1041,1277,7621,72
05035,"Crittenden County, Arkansas",49511,23382,26129,20721,31056,3688,1347,250,116,48967,2676,2956,5632,11991,4975,7016,19914,413
05047,"Franklin County, Arkansas",17799,8795,9004,19988,12041,1125,312,88,42,17472,912,798,1710,3684,1784,1900,6382,18
05045,"Faulkner County, Arkansas",120417,59053,61364,25240,72992,13492,5737,869,1153,119053,7420,6471,13891,18590,8274,10316,56370,462
05109,"Pike County, Arkansas",11017,5412,5605,20180,7692,653,410,42,37,10872,853,770,1623,1997,916,1081,4452,97
05069,"Jefferson County, Arkansas",72385,35626,36759,20371,48054,5384,1999,439,342,68132,3354,3801,7155,16959,7468,9491,26757,629
05089,"Marion County, Arkansas",16404,8105,8299,19200,12503,1253,573,61,28,16261,923,887,1810,3220,1392,1828,5337,0
05097,"Montgomery County, Arkansas",9100,4529,4571,21480,6746,495,278,40,31,8959,744,569,1313,1677,755,922,3264,2
05127,"Scott County, Arkansas",10661,5397,5264,18077,7144,406,225,90,35,10592,607,497,1104,2204,1078,1126,4071,47
