GEOID,NAME,B01003_001E,C17002_001E,B23025_005E,B15003_016E,B15003_022E,B15003_023E,B15003_024E,B15003_025E,B25024_001E,B25033_001E,B25014_001E,B25044_001E,POV,UNEMP,PCI,NOHSDP,SNGPNT,MUNIT,MOBILE,CROWD,NOVEH,GROUPQ,MINORITY,NTVAMRCN,Occurrence
12101,"Pasco County, Florida",551598,543449,13565,8289,67728,26906,5171,4495,253685,544476,217318,217318,0.12184400008096435,0.054447517249406954,31931,0.07493174385694712,0.330473852424846,0.06284565504464197,0.1319672492451458,0.016165250922611105,0.05022593618568181,0.012911576909270882,0.28134619777446623,0.0030021863748599525,0
12103,"Pinellas County, Florida",957989,942924,23984,13335,163138,62634,17751,9408,514666,939826,415730,415730,0.11543136032172265,0.049719106946661415,39539,0.06054638765064102,0.3951032857721874,0.24119914663101896,0.05949611949445961,0.019659394318427826,0.07370889760180886,0.01895950788578992,0.2714707580149668,0.00218269729610674,0
12105,"Polk County, Florida",713148,699296,15817,12243,69222,25809,5127,3790,311599,700220,253178,253178,0.14569795909028507,0.0493499361948413,27909,0.11168569251878846,0.3948584943693391,0.056402620034082265,0.15995258633001055,0.03263711696908894,0.05257960802281399,0.018128074396899382,0.4399605691946131,0.003162036491724018,0
12107,"Putnam County, Florida",73147,71787,2504,1640,4521,1589,358,205,36133,71927,29174,29174,0.23700670037750568,0.09007518256052376,22814,0.15005635470991652,0.4867162592986185,0.02360722884897462,0.42283148191916803,0.02495372592034003,0.07894015219030644,0.016678742805583277,0.29334080686836095,0.0038415792855482794,0
12109,"St. Johns County, Florida",265724,262963,6013,2433,53193,24412,5846,3500,115442,263269,95640,95640,0.0765240737290037,0.04679523097995268,46583,0.04013621989783511,0.22913758407512827,0.09001056807747614,0.0604552757825646,0.009671685487243831,0.02300292764533668,0.009238909545242433,0.19068281374659424,0.0013472625731962488,0
12111,"St. Lucie County, Florida",324599,321414,8455,4744,37637,14679,2797,2254,146077,321688,122186,122186,0.11815602307304598,0.05665371214151702,31289,0.09779833471895749,0.4269761544838348,0.10923690930125893,0.03916527815771804,0.021123532974317842,0.04354017645229404,0.008967988194664801,0.4520346643088857,0.003120773631465285,0
12113,"Santa Rosa County, Florida",184345,177881,4082,2450,24333,10652,1569,1187,74878,178328,67534,67534,0.08839055323502791,0.049263223953367685,35253,0.05825017763909912,0.2551557129465681,0.040212078314057535,0.08414831097752457,0.02222584179820535,0.03004412592175793,0.03263988716808158,0.18918332474436517,0.003509723616046001,0
12115,"Sarasota County, Florida",429336,423516,6651,5458,73434,37991,10866,5975,249418,423765,193923,193923,0.08142785632656145,0.03578422932897172,48265,0.047282259261091086,0.35383299110198496,0.16530883897713877,0.05584699066699704,0.013484733631389778,0.046157495500791554,0.0129758510816703,0.18002916130955704,0.002410699312426631,0
12117,"Seminole County, Florida",467382,463438,11343,4951,91599,34718,7678,4707,192725,463719,180891,180891,0.09471601379256772,0.04473956155781868,38429,0.043229678453189035,0.2834571903749395,0.14362952393306525,0.018713919421028683,0.02475523934302978,0.03618201016081508,0.007837272295467091,0.41836870054901554,0.0022807895896718314,0
12119,"Sumter County, Florida",127335,118197,1574,1978,22230,12191,1991,1270,73998,118285,61441,61441,0.09658451568144708,0.055313466404273266,39922,0.060557720303006546,0.44830838146882,0.03781183275223655,0.1415056854208057,0.012206832571084455,0.03681580703439072,0.07107236816272039,0.15563670632583348,0.0021203910943574035,0
12121,"Suwannee County, Florida",43514,41594,933,703,2863,1621,159,275,18891,42076,15098,15098,0.1518969082079146,0.05296020888914117,24302,0.14810364982465252,0.46405648267008986,0.020803557249483882,0.49888297366669837,0.04113127566565108,0.07683136839316465,0.033046835501218,0.25155122489313786,3.9067886197545617e-4,0
12123,"Taylor County, Florida",21762,18142,443,295,1328,480,60,40,11078,18247,7270,7270,0.18244956454635652,0.06203612939364235,23401,0.1595571678759069,0.4206977425974787,0.004964795089366311,0.31057160081109225,0.02778541953232462,0.05969738651994498,0.1615200808749196,0.29252826027019574,8.271298593879239e-4,0
12125,"Union County, Florida",16141,10308,145,138,892,299,60,41,4678,10387,4064,4064,0.17035312378734963,0.0336192905170415,20226,0.21508664627930685,0.3568953568953569,0.005771697306541257,0.45961297776066234,0.056594488188976375,0.05142716535433071,0.3564834892509758,0.3096462424880738,0.0070627594325010845,0
12127,"Volusia County, Florida",548783,538024,10483,6263,68388,25061,6308,3842,270402,538367,228569,228569,0.1289793763846966,0.0419833876665038,32231,0.07331776182461447,0.41318815597110997,0.1369220641859158,0.06877650376044595,0.01366327017224558,0.055882468751230485,0.018980179779621454,0.3007709786928531,0.0020572794711206433,0
12129,"Wakulla County, Florida",33144,29782,503,341,2930,1468,255,163,13537,29909,11266,11266,0.06184943925861258,0.03269418264543386,29425,0.10406639004149376,0.2946162297912416,0,0.22528335952388914,0.02618498135984378,0.024942304278359667,0.09760439295196717,0.2137641805454984,0.0033188510741008932,0
12131,"Walton County, Florida",73456,71713,1595,488,11448,4127,1309,713,54894,71897,30182,30182,0.1278010960355863,0.046164978292329954,38777,0.07874815361890697,0.32628420375794814,0.19036688891317813,0.1876851607160243,0.025710688489828375,0.041349148499105426,0.021223589631888477,0.16563657155303857,0.004315508603790024,0
12133,"Washington County, Florida",24906,22039,519,355,1439,538,224,69,10840,22075,8853,8853,0.22333136712192023,0.05647442872687704,21389,0.14478021978021982,0.4431718061674009,0.011254612546125461,0.3633975084937712,0.020558002936857563,0.039082796792047896,0.11366738938408416,0.2340801413314061,0.011603629647474504,0
13001,"Appling County, Georgia",18509,18149,221,223,653,406,74,66,8492,18083,6637,6637,0.25411868422502615,0.02883235485975212,22109,0.20398412826949552,0.38057085628442666,0.0131888836552049,0.31394127080683515,0.02034051529305409,0.09401838179900557,0.023015830136690257,0.3173050948187368,1.0805554054784159e-4,0
13003,"Atkinson County, Georgia",8269,8228,227,181,288,162,81,42,3475,8247,2968,2968,0.26908118619348564,0.06158437330439501,20287,0.2971895176604633,0.4071467244179751,0.014388489208633094,0.4655026070086092,0.03975741239892183,0.057951482479784364,0.0026605393638892247,0.450114886927077,0,0
13005,"Bacon County, Georgia",11163,10458,151,43,368,290,125,24,4803,10487,3874,3874,0.2445018167909734,0.03427922814982974,22846,0.16068493150684926,0.4931118314424635,0.003123048094940662,0.3750357585582149,0.0247805885389778,0.08286009292720702,0.06055719788587297,0.26946161426139925,0,0
13007,"Baker County, Georgia",2928,2928,122,53,202,177,0,10,1531,2920,1201,1201,0.2506830601092896,0.12127236580516898,22872,0.13884992987377276,0.5652985074626866,0.0013063357282821686,0.20410958904109588,0.02164862614487927,0.07243963363863447,0.00273224043715847,0.4894125683060109,6.830601092896175e-4,0
13009,"Baldwin County, Georgia",43876,39392,1426,628,4190,1973,400,383,20022,38939,15948,15948,0.22560418359057677,0.07554166445939503,28455,0.12015870704717535,0.5232231294338108,0.04155429028069124,0.1880890623796194,0.01730624529721595,0.06916227740155505,0.11252165192816119,0.4794648555018689,7.749111131370225e-4,0
13011,"Banks County, Georgia",18061,18022,278,633,1224,497,147,202,7237,18061,6483,6483,0.13156142492509154,0.03392312385600976,26125,0.18056551174830748,0.23866286602746825,0.008981622219151582,0.2772271745750512,0.022828937220422642,0.026839426191577972,0,0.13133270583024192,0.002491556392226344,0
13013,"Barrow County, Georgia",82138,81720,1664,1247,7001,2900,541,854,29530,81953,28087,28087,0.1045031815956926,0.0397582013236805,27926,0.09974339566910961,0.34798299386988335,0.018151032847951235,0.062304003514209366,0.024068074198027558,0.034962794175241216,0.0022523070929411477,0.31814750785263823,0.0037619615768584576,0
13015,"Bartow County, Georgia",107868,106512,2993,1398,9617,3023,1104,509,41946,106855,38029,38029,0.1202493615742827,0.055927199342252785,28467,0.11507925492046744,0.3103969908827017,0.04956372478901445,0.10498338870431893,0.017197401982697414,0.03586736437981541,0.009391107650090852,0.24346423406385587,0.001353506137130567,0
13017,"Ben Hill County, Georgia",17237,16907,317,289,914,210,79,64,8102,16945,6828,6828,0.2564618205477021,0.04184818481848185,20298,0.13733275787656452,0.5682428801719506,0.0182670945445569,0.26934198878725285,0.029437609841827767,0.10076157000585823,0.01694030283692058,0.45245692405871096,0,0
13019,"Berrien County, Georgia",18195,17915,476,88,1081,398,76,80,8082,18026,6634,6634,0.21066145687970975,0.06239349849259405,22072,0.1871512832775386,0.3868756121449559,0.004949269982677555,0.3486630422722734,0.017033463973470005,0.04989448296653603,0.00928826600714482,0.19076669414674363,0.001978565539983512,0
